noise_type,param_name,param_value,track_id,KF_clean,KF_noisy,RMSE_change,RMSE_ratio
gaussian,noise_level,0.0,7864341_1,0.039520374849658986,0.03952037330208442,-1.5475745684945252e-09,0.9999999608410959
gaussian,noise_level,0.0,7865069_1,0.036879682912860964,0.03687968269376813,-2.190928341527787e-10,0.9999999940592539
gaussian,noise_level,0.0,7865069_2,0.07505632390785508,0.0750563256194391,1.711584027286328e-09,1.000000022803995
gaussian,noise_level,0.0,7865263_3,0.047851614652595104,0.047851613577597506,-1.0749975978829873e-09,0.9999999775347685
gaussian,noise_level,0.0,7865465_1,0.05672539889082253,0.0567253982728228,-6.179997277810934e-10,0.9999999891054142
gaussian,noise_level,0.0,7865574_2,0.07459300963724169,0.07459300887770184,-7.595398476833992e-10,0.9999999898175466
gaussian,noise_level,0.0,7865692_1,0.08520472514574363,0.08520472673781786,1.592074222456219e-09,1.0000000186852809
gaussian,noise_level,0.0,7865723_1,0.0632603297872706,0.06326032857552405,-1.2117465503225233e-09,0.9999999808450801
gaussian,noise_level,0.0,7865797_1,0.08408131765327916,0.08408131588256068,-1.770718474625177e-09,0.9999999789404053
gaussian,noise_level,0.0,7865857_2,0.08459068790370032,0.08459068739338188,-5.103184402832639e-10,0.9999999939672031
gaussian,noise_level,0.0,7865994_1,0.033685528643038976,0.03368552948207844,8.390394629076425e-10,1.0000000249080094
gaussian,noise_level,0.0,7866314_1,0.0762617878175273,0.07626178956894157,1.7514142774954777e-09,1.0000000229658172
gaussian,noise_level,0.0,7866321_1,0.04991075750225983,0.049910755915397856,-1.5868619751557844e-09,0.999999968206013
gaussian,noise_level,0.0,7866321_2,0.057940340400752584,0.05794034040772675,6.974164301620789e-12,1.000000000120368
gaussian,noise_level,0.0,7866461_1,0.03140434207413889,0.03140434158960312,-4.845357726157573e-10,0.999999984571058
gaussian,noise_level,0.0,7866461_2,0.06300667235320136,0.06300667256793939,2.1473803291094384e-10,1.0000000034081793
gaussian,noise_level,0.0,7866464_2,0.08614334845042504,0.08614334738876145,-1.0616635903737404e-09,0.9999999876756174
gaussian,noise_level,0.0,7866535_1,0.050836384487645984,0.05083638623004416,1.7423981771291785e-09,1.0000000342746282
gaussian,noise_level,0.0,7866570_1,0.07114303583589215,0.07114303698692989,1.151037737345817e-09,1.0000000161792046
gaussian,noise_level,0.0,7866570_2,0.07640785275281842,0.07640785278278198,2.996355941142781e-11,1.000000000392153
gaussian,noise_level,0.0,7866603_1,0.03900451163475016,0.039004512550490915,9.157407540594242e-10,1.0000000234778161
gaussian,noise_level,0.0,7866620_1,0.039746605894165524,0.039746607218477135,1.3243116117611642e-09,1.0000000333188603
gaussian,noise_level,0.0,7866620_3,0.0574292518108588,0.05742925153327394,-2.775848578773221e-10,0.9999999951664901
gaussian,noise_level,0.0,7866620_4,0.062341710707451585,0.062341708321994614,-2.3854569708436912e-09,0.9999999617357794
gaussian,noise_level,0.0,7866726_1,0.0680534346120343,0.06805343813299905,3.5209647558653856e-09,1.0000000517382375
gaussian,noise_level,0.0,7867097_1,0.07483592724767257,0.07483592762812515,3.80452572223966e-10,1.0000000050838225
gaussian,noise_level,0.0,7867097_2,0.07403749174950168,0.07403749220705998,4.5755829680693694e-10,1.000000006180089
gaussian,noise_level,0.0,7867214_1,0.05924426901980404,0.05924426932469972,3.048956781492862e-10,1.0000000051464164
gaussian,noise_level,0.0,7867378_1,0.08935936522010286,0.08935936529967387,7.957100256472671e-11,1.0000000008904606
gaussian,noise_level,0.0,7867404_1,0.035633914668397305,0.03563391519488059,5.264832875218062e-10,1.000000014774781
gaussian,noise_level,0.0,7867447_1,0.06546837828324895,0.06546838069310132,2.4098523732085653e-09,1.00000003680941
gaussian,noise_level,0.0,7867447_2,0.07499675026130057,0.07499674845855078,-1.8027497827866057e-09,0.9999999759622947
gaussian,noise_level,0.0,7867498_1,0.06064378045177305,0.06064378274768469,2.2959116413590053e-09,1.0000000378589795
gaussian,noise_level,0.0,7867498_2,0.08546572282998008,0.08546571990179334,-2.9281867347519253e-09,0.9999999657384664
gaussian,noise_level,0.0,7867625_1,0.06568981612583094,0.06568981589746266,-2.2836828261763031e-10,0.999999996523536
gaussian,noise_level,0.0,7867633_1,0.06864054136277732,0.06864054042237946,-9.403978568078841e-10,0.9999999862996731
gaussian,noise_level,0.0,7867633_2,0.06820998719843527,0.06820998439798871,-2.800446555206726e-09,0.999999958943746
gaussian,noise_level,0.0,7867675_1,0.07465865401612486,0.07465865319730414,-8.188207195614083e-10,0.9999999890324741
gaussian,noise_level,0.0,7867680_1,0.06658198240599376,0.06658198147103572,-9.34958041542977e-10,0.999999985957792
gaussian,noise_level,0.0,7867715_1,0.04639408401089546,0.046394082705780666,-1.305114794014628e-09,0.9999999718689393
gaussian,noise_level,0.0,7867732_1,0.05305992806818507,0.05305992735903451,-7.091505577205837e-10,0.999999986634913
gaussian,noise_level,0.0,7867732_2,0.08665076160944256,0.08665076510420941,3.4947668509088814e-09,1.0000000403316345
gaussian,noise_level,0.0,7867769_1,0.07301055039976165,0.07301055485160471,4.4518430608597725e-09,1.000000060975339
gaussian,noise_level,0.0,7867769_2,0.07147900322313197,0.07147900595172281,2.7285908393848146e-09,1.0000000381733196
gaussian,noise_level,0.0,7867785_1,0.07887555300975575,0.07887555757105107,4.561295313676439e-09,1.0000000578290122
gaussian,noise_level,0.0,7867977_1,0.0592195431958644,0.0592195457264407,2.5305762971217227e-09,1.0000000427321145
